name,value,vary,lower,upper,stage,note
Tm1,330.0,1,300,380,1,thermo stage1
Tm2,354.0,1,330,400,1,thermo stage1
dH1,-21000.0,1,-100000,-1000,1,thermo stage1
dH2,-35000.0,1,-150000,-1000,1,thermo stage1
C11,-0.17914457270243375,1,-3,3,2,init from preprocessing
C12,0.3,1,-3,3,both,fit1 and fit2
C13,-0.012580350421504748,1,-3,3,2,init from preprocessing
C21,0.0633454152176981,1,-3,3,2,init from preprocessing
C22,0.3,1,-3,3,both,fit1 and fit2
C23,-0.40423608266663164,1,-3,3,2,init from preprocessing
C31,0.33449226923934205,1,-3,3,2,init from preprocessing
C32,0.3,1,-3,3,both,fit1 and fit2
C33,0.1743988262097379,1,-3,3,2,init from preprocessing
